timestamp,operation,key,latency_ms,success,http_status,returned_version,expected_version,stale_read,time_since_last_write_ms
2026-04-03T17:17:54.917397-07:00,write,k19,0.099,true,201,9,9,false,0.101
2026-04-03T17:17:54.917504-07:00,write,k18,0.102,true,201,15,15,false,0.341
2026-04-03T17:17:54.917621-07:00,write,k8,0.114,true,201,11,11,false,1.793
2026-04-03T17:17:54.917733-07:00,write,k18,0.107,true,201,16,16,false,0.227
2026-04-03T17:17:54.917819-07:00,write,k10,0.082,true,201,13,13,false,1.793
2026-04-03T17:17:54.917932-07:00,write,k16,0.109,true,201,15,15,false,1.009
2026-04-03T17:17:54.918047-07:00,write,k15,0.111,true,201,12,12,false,1.245
2026-04-03T17:17:54.918155-07:00,write,k18,0.102,true,201,17,17,false,0.418
2026-04-03T17:17:54.918261-07:00,write,k13,0.102,true,201,14,14,false,1.799
2026-04-03T17:17:54.918351-07:00,write,k6,0.087,true,201,11,11,false,2.769
2026-04-03T17:17:54.918497-07:00,write,k12,0.142,true,201,11,11,false,2.246
2026-04-03T17:17:54.918685-07:00,write,k13,0.185,true,201,15,15,false,0.422
2026-04-03T17:17:54.918777-07:00,write,k19,0.088,true,201,10,10,false,1.377
2026-04-03T17:17:54.918855-07:00,write,k12,0.074,true,201,12,12,false,0.356
2026-04-03T17:17:54.919058-07:00,write,k4,0.197,true,201,13,13,false,3.857
2026-04-03T17:17:54.919165-07:00,write,k0,0.102,true,201,19,19,false,4.685
2026-04-03T17:17:54.919302-07:00,write,k6,0.132,true,201,12,12,false,0.948
2026-04-03T17:17:54.919415-07:00,write,k13,0.110,true,201,16,16,false,0.727
2026-04-03T17:17:54.919487-07:00,write,k5,0.067,true,201,17,17,false,4.172
2026-04-03T17:17:54.919618-07:00,write,k14,0.123,true,201,12,12,false,2.951
2026-04-03T17:17:55.127753-07:00,read,k5,208.131,true,200,17,17,false,208.270
2026-04-03T17:17:55.128637-07:00,write,k12,0.705,true,201,13,13,false,209.783
2026-04-03T17:17:55.335237-07:00,read,k18,206.520,true,200,17,17,false,417.084
2026-04-03T17:17:55.335539-07:00,write,k9,0.242,true,201,17,17,false,419.599
2026-04-03T17:17:55.335723-07:00,write,k1,0.171,true,201,23,23,false,421.002
2026-04-03T17:17:55.335908-07:00,write,k13,0.169,true,201,17,17,false,416.489
2026-04-03T17:17:55.544883-07:00,read,k7,208.958,true,200,11,11,false,629.188
2026-04-03T17:17:55.75157-07:00,read,k17,206.545,true,200,12,12,false,834.507
2026-04-03T17:17:55.751876-07:00,write,k18,0.221,true,201,18,18,false,833.718
2026-04-03T17:17:55.752087-07:00,write,k12,0.200,true,201,14,14,false,623.375
2026-04-03T17:17:55.752294-07:00,write,k5,0.200,true,201,18,18,false,832.801
2026-04-03T17:17:55.752618-07:00,write,k0,0.247,true,201,20,20,false,833.449
2026-04-03T17:17:55.752894-07:00,write,k0,0.258,true,201,21,21,false,0.261
2026-04-03T17:17:55.753123-07:00,write,k3,0.213,true,201,14,14,false,838.110
2026-04-03T17:17:55.753343-07:00,write,k3,0.209,true,201,15,15,false,0.211
2026-04-03T17:17:55.75363-07:00,write,k17,0.280,true,201,13,13,false,836.563
2026-04-03T17:17:55.753807-07:00,write,k10,0.165,true,201,14,14,false,835.984
2026-04-03T17:17:55.753988-07:00,write,k14,0.172,true,201,13,13,false,834.371
2026-04-03T17:17:55.754129-07:00,write,k12,0.104,true,201,15,15,false,2.038
2026-04-03T17:17:55.754242-07:00,write,k15,0.106,true,201,13,13,false,836.189
2026-04-03T17:17:55.754368-07:00,write,k14,0.119,true,201,14,14,false,0.346
2026-04-03T17:17:55.754523-07:00,write,k14,0.149,true,201,15,15,false,0.150
2026-04-03T17:17:55.754839-07:00,write,k13,0.311,true,201,18,18,false,418.916
2026-04-03T17:17:55.755147-07:00,write,k6,0.300,true,201,13,13,false,835.841
2026-04-03T17:17:55.755366-07:00,write,k6,0.214,true,201,14,14,false,0.220
2026-04-03T17:17:55.755817-07:00,write,k17,0.289,true,201,14,14,false,2.179
2026-04-03T17:17:55.755971-07:00,write,k11,0.125,true,201,14,14,false,839.843
2026-04-03T17:17:55.75871-07:00,write,k16,2.732,true,201,16,16,false,840.776
2026-04-03T17:17:55.968245-07:00,read,k15,209.510,true,200,13,13,false,214.002
2026-04-03T17:17:55.96887-07:00,write,k12,0.530,true,201,16,16,false,214.768
2026-04-03T17:17:55.96929-07:00,write,k6,0.336,true,201,15,15,false,213.855
2026-04-03T17:17:56.177216-07:00,read,k17,207.877,true,200,14,14,false,421.377
2026-04-03T17:17:56.177717-07:00,write,k10,0.400,true,201,15,15,false,423.905
2026-04-03T17:17:56.177987-07:00,write,k6,0.222,true,201,16,16,false,208.655
2026-04-03T17:17:56.178246-07:00,write,k2,0.221,true,201,19,19,false,1263.362
2026-04-03T17:17:56.178452-07:00,write,k14,0.186,true,201,16,16,false,423.925
2026-04-03T17:17:56.178677-07:00,write,k11,0.207,true,201,15,15,false,422.702
2026-04-03T17:17:56.178879-07:00,write,k6,0.173,true,201,17,17,false,0.863
2026-04-03T17:17:56.390162-07:00,read,k8,211.260,true,200,11,11,false,1472.540
2026-04-03T17:17:56.39077-07:00,write,k2,0.513,true,201,20,20,false,212.510
2026-04-03T17:17:56.391161-07:00,write,k5,0.331,true,201,19,19,false,638.815
